id,popularity,vote_average,vote_count,budget,runtime,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Mystery,Romance,Science Fiction,Thriller,War,Canal+,Columbia Pictures,Original Film,Universal Pictures,Walt Disney Pictures,other_companies,Canada,France,Italy,Japan,United Kingdom,United States of America,other_countries,en,es,fr,it,other_languages,release_day_of_week,release_month,release_year
385687,732.647,0.0,0,340000000,142,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,4,5,2023
455476,418.889,6.5,28,0,112,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,4,5,2023
447277,220.944,0.0,0,0,135,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,5,2023
569094,124.759,0.0,0,0,142,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,4,6,2023
536437,43.582,0.0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,4,5,2023
942199,41.703,6.2,27,0,95,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,6,2023
870518,38.992,6.0,1,0,96,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,4,5,2023
982271,38.266,0.0,0,35000000,108,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,5,2023
1003981,29.098,0.0,0,4000,10,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2023
1087066,28.732,0.0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2023
1016084,28.487,0.0,0,0,121,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,4,5,2023
553147,27.822,0.0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,5,2023
1047925,27.637,0.0,0,0,95,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,5,2023
717930,24.511,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,5,2023
1008102,23.903,0.0,0,0,92,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,4,5,2023
939338,22.009,6.2,9,0,95,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,5,2023
770724,21.358,6.6,111,0,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,4,5,2023
1119787,20.614,0.0,0,100,90,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,5,2023
532408,18.831,0.0,0,41900000,98,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,6,2023
943919,17.396,0.0,0,0,95,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,6,2023
